词条	拼音	分类	释义	例句
粗盐	tshou55yie21	饮食		
细盐	si55yie21	饮食	精盐	
猪油	tsyu55yeu21	饮食		
荤油	hun55yeu21	饮食		
菜油	tshe55yeu21	饮食	菜子油，苏州做菜多用~	
麻油	mo22yeu44	饮食	芝麻油，多用于拌凉菜	
酱油	tsian55yeu21	饮食		
酸醋	soe55tshou21	饮食	醋	
料酒	liau22tseu44	饮食		
赤砂糖		饮食	红糖	
绵白糖		饮食	颗粒很细	
砂糖	so55daon21	饮食	颗粒较粗	
冰糖	pin22daon21	饮食		
味之素<老>		饮食		
味精	vi22tsin44	饮食		
胡椒粉		饮食		
甜面酱		饮食		
豆瓣酱		饮食		
辣火酱		饮食	辣酱	
小吃	siau41chiq34	饮食		
老卜丝饼		饮食	一萝卜丝、面粉为原料放在铁皮模子中油炸而成的小吃	
椠光荸荠		饮食	将荸荠去皮、煮熟后，串在竹签子上出售	
糖芋艿		饮食	小吃，芋头加糖水煮成	
焐熟藕		饮食	小吃，用糯米塞在藕的孔里，加白糖煮烂	
粽子糖		饮食	一种粽子形的糖果	
麦芽糖		饮食		
黄连头		饮食	旧时的一种小吃，沿街叫卖	
盐金花菜		饮食	旧时的一种小吃，沿街叫卖	
支老卜		饮食	就是一种小吃，用萝卜做成，多为学生吃	
支酸	tsyu55soe21	饮食	一种酸甜的零食，多为孩子吃的	
巧果	chiau41kou34	饮食	一种油炸的小吃，在乞巧节吃。“巧”只在这里念白读	
香烟	shian55ie21	饮食		
香烟壳子		饮食	香烟盒（纸的）	
香烟头		饮食	烟蒂	
香烟屁股		饮食	烟蒂	
磕头牌		饮食	就是有人将捡来的烟蒂拆开，将其中的烟叶再做成香烟，这样的香烟被戏称为~，因捡烟蒂时要弯腰低头	
吃香烟		饮食	吸香烟	
旱烟	ghoe22ie44	饮食		
水烟	syu41ie34	饮食		
水烟筒		饮食	水烟袋（铜制的）	
纸出	tsy41tsheq34	饮食	纸媒儿	
茶	zo223	饮食	①茶水；	
茶	zo224	饮食	②开水	
吃茶	chiq43zo223	饮食	喝茶	
茶叶	zo22yiq44	饮食		
泡茶	phau51zo223	饮食	沏茶（动宾）	
原泡茶		饮食	新沏的茶	
茶垠	zo22khen44	饮食	茶垢	
吃老酒		饮食	喝酒	
吃酒		饮食	喝酒	
烧酒	sau55tseu21	饮食	白酒	
黄酒	waon22tseu44	饮食		
冬阳酒		饮食	一种在冬至节吃的低度米酒	
筛酒	sa55tseu21	饮食	斟酒	
肚皮饿		饮食	肚子饿	
嘴干	tsyu41koe34	饮食	口渴	
打扮	tan52pe21	衣服穿戴		
着衣裳		衣服穿戴	穿衣服	
脱衣裳		衣服穿戴		
做衣裳		衣服穿戴	做衣服	
着睏		衣服穿戴	穿着睡	哀件衣裳是~葛。（这件衣服是穿着睡觉的，旧时没有专门的睡衣。）
扎底	tsaeq55ti52	衣服穿戴	纳鞋底子	
定被头		衣服穿戴	缝被子	
汏衣裳		衣服穿戴	洗衣服	
汏一破		衣服穿戴	洗一水	
过	kou512	衣服穿戴	用清水漂洗，投	我来汏，倷去~。（我来洗，你去投。）
绗	ghaon223	衣服穿戴	一种缝纫方法	
毛头	mau22deu44	衣服穿戴	衣服的未经加工的边	
抳席	gni223ziq23	衣服穿戴	擦席子	
百辫子		衣服穿戴	扎辫子	
夹里		衣服穿戴	里子	
大襟	dou22cin44	衣服穿戴		
小襟	siau41cin34	衣服穿戴		
下襬	gho22pa44	衣服穿戴		
领头	lin22deu44	衣服穿戴	领子	
缲边	tshiau55pie21	衣服穿戴	一种缝纫方法	
衣裳管		衣服穿戴	袖子	
裤腰	khou55iau21	衣服穿戴		
裤裆	khou55taon21	衣服穿戴		
裤子带		衣服穿戴	裤腰带	
裤脚管		衣服穿戴	裤腿儿	
脚管	ciaq55kuoe52	衣服穿戴	裤腿儿	
袋袋	de22de44	衣服穿戴	衣服上的口袋	
贴边		衣服穿戴		
纽头	ngeu22deu44	衣服穿戴	纽扣，包括中式和西式的	
纽襻	ngeu24phe21	衣服穿戴	中式的布扣襻	
纽子	ngeu22tsy44	衣服穿戴	西式的扣子	
纽头洞		衣服穿戴	扣眼儿	
鞋带	gha22ta44	衣服穿戴		
鞋底	gha22ti44	衣服穿戴		
鞋帮	gha22paon44	衣服穿戴		
士林布		衣服穿戴	一种布，蓝色，较薄	
白作布		衣服穿戴	一种布，白色，较薄	
夏布	gho22pu44	衣服穿戴	一种布，网眼大，较粗，多用来做夏衣	
帆布	ve22pu44	衣服穿戴		
夹里布		衣服穿戴	做里子的布	
绒头绳<老>		衣服穿戴	毛线	
头绳<老>	deu22zen44	衣服穿戴	毛线	
绒线	gnion22sie44	衣服穿戴	毛线	
丝缕	sy55li21	衣服穿戴	织物中的纤维方向	棉毛衫葛~是横葛。
杜做葛		衣服穿戴	自己家做的，相对于“卖家葛”。多用于鞋	
卖家葛		衣服穿戴	买来的，相对于“杜做葛”	
衣裳	i55zaon21	衣服穿戴		
长衫	zan22se44	衣服穿戴	中式长袍	
襔<老>	moe44	衣服穿戴	中式棉的长袍	
马褂	mo24ko21	衣服穿戴		
旗袍	ji22bau44	衣服穿戴		
短打	toe41tan34	衣服穿戴	旧指中式短衣服，多为体力劳动者穿	
短衫	toe41se34	衣服穿戴	上衣	
棉袄	mie22au44	衣服穿戴	棉的上衣	
袄团	mie22doe44	衣服穿戴	冬天覆盖在被子上的棉袄	
夹袄	kaeq55au52	衣服穿戴	两层布的上衣	
单短衫		衣服穿戴	单层布的上衣	
列宁装		衣服穿戴	20世纪50年代流行的一种服装	
壳脱	khoq55theq55	衣服穿戴	夹克，英文coat	
衬衫	tshen55se21	衣服穿戴	西式衬衣	
罩衫	tsau55se21	衣服穿戴	罩衣	
球衫	jieu22se44	衣服穿戴	一种针织内衣，较厚。北方叫秋衣	
司惠脱<老>		衣服穿戴	英文sweater	
卫生衫		衣服穿戴	英文sweater	
衬里短衫		衣服穿戴	内衣（多指中式的）	
汗衫	ghoe22se44	衣服穿戴		
马甲	mo22kaeq44	衣服穿戴	没有袖子的上衣的统称	
紧身马甲		衣服穿戴	穿在里边起保暖作用的背心	
汗马甲		衣服穿戴	汗背心	
绒头绳短衫<老>		衣服穿戴	毛衣	
绒线衫		衣服穿戴	毛衣	
肚兜	dou22teu44	衣服穿戴	兜肚	
毛衫	mau22se44	衣服穿戴	婴儿内衣，不缝边	
裤子	khou55tsy21	衣服穿戴		
单裤	te55khou21	衣服穿戴	单层布的裤子	
夹裤		衣服穿戴	两层布的裤子	
球裤	jieu22khou44	衣服穿戴	一种针织内衣，较厚。北方叫秋裤	
绒头绳裤子<老>		衣服穿戴	毛线裤	
绒线裤		衣服穿戴	毛线裤	
衬裤	tshen55khou21	衣服穿戴	内裤，包括长的和短的	
西装短裤		衣服穿戴	穿在外面的西式短裤	
三角裤		衣服穿戴	最小的内裤	
罩裤	tsau55khou21	衣服穿戴		
开裆裤		衣服穿戴		
裙	jiun223	衣服穿戴	裙子	
鞋子	gha22tsy44	衣服穿戴	鞋	
棉鞋	mie22gha44	衣服穿戴		
蚌壳爿棉鞋		衣服穿戴	一种常见的棉鞋	
夹鞋		衣服穿戴	不写	
球鞋	jieu22gha44	衣服穿戴		
跑鞋	bau22gha44	衣服穿戴		
蒲鞋	bu22gha44	衣服穿戴	用蒲草或稻草编的鞋，式样像布鞋	
草鞋	tshau41gha34	衣服穿戴	用蒲草或稻草编的鞋，式样像凉鞋	
套鞋	thau55gha21	衣服穿戴	胶鞋	
钉鞋	tin55gha21	衣服穿戴	鞋底有钉子的鞋，旧时下雨天时穿	
拖鞋	thou55gha21	衣服穿戴		
木屐	moq23jiq55	衣服穿戴	用木板做底的拖鞋	
塔辣板		衣服穿戴	“塔辣”应是象声	
小脚鞋子		衣服穿戴	旧时裹脚妇女穿的鞋	
楦头	shioe55deu21	衣服穿戴	鞋楦子	
鞋曳拔		衣服穿戴	鞋拔子	
鞋肚里		衣服穿戴	鞋的里头	
袜	maeq23	衣服穿戴	袜子	
长统袜		衣服穿戴	长袜	
短统袜		衣服穿戴	短袜	
宽紧带		衣服穿戴	套住袜子的松紧带	
结	ciq43	衣服穿戴	系（鞋带）	
帽子	mau22tsy44	衣服穿戴		
铜盆帽		衣服穿戴	礼帽	
小滴粒帽子		衣服穿戴	瓜皮帽	
罗宋帽		衣服穿戴	一种绒布做的保暖的帽子，旧时老人常戴	
草帽	tshau41mau34	衣服穿戴		
箬帽	gniaq23mau31	衣服穿戴	斗笠	
鸭舌头		衣服穿戴	帽檐儿	
围巾	yu22cin44	衣服穿戴		
手套	seu52thau21	衣服穿戴		
绢头	cioe55deu21	衣服穿戴	手绢儿	
围馋	yu22ze44	衣服穿戴	围嘴儿	
围身	yu22sen44	衣服穿戴	围腰	
尿布	syu55pu21	衣服穿戴		
首饰	seu41seq34	衣服穿戴		
镯头	zoq23deu31	衣服穿戴	镯子	
戒指	ka55tsyu21	衣服穿戴		
圈	chioe44	衣服穿戴	耳环	
项圈	ghaon22chioe44	衣服穿戴		
长命百岁		衣服穿戴	小儿戴的百家锁	
轧叉	gaeq23tsho31	衣服穿戴	发夹	
房子	vaon22tsy44	房舍	整座的，不包括院子	一主~（一座房子）
造	zau231	房舍	建造（房子）	
平房	bin22vaon44	房舍		
楼房	leu22vaon44	房舍		
洋房	yan22vaon44	房舍		
草棚棚		房舍	草房	
房间	vaon22ke44	房舍	①屋子，一所房子分隔而成的；	一共三只~；
房间	vaon22ke45	房舍	②卧室	日朝伴辣~里。(天天躲在卧室里。）
房	vaon223	房舍	卧室	日朝伴辣~里。(天天躲在卧室里。）
客堂	khaq55daon34	房舍	中式房屋的客厅	
客堂间		房舍	中式房屋的客厅	
厅	thin44	房舍	客厅（中式或西式）	
坐起<老>	zou22chi44	房舍	起居室，跟客厅相近，但不一定有客厅讲究	
夹厢	kaeq55sian34	房舍	厢房，中式民居客厅两边的房间	
楼中间		房舍	中式民居楼上中间的房间，看门人工作和居住的处所	
墙门间		房舍	旧时大宅院大门内的一间，看门人工作和居住的处所	
屋里	o5h5li412	房舍	家里	
天井	thie55tsin21	房舍		
围墙	we22zian44	房舍		
照墙	tsau55zian21	房舍	影壁	
楼浪	leu22laon44	房舍	楼上	
楼下	leu22gho44	房舍		
胡梯	ghou22thi44	房舍	楼梯（固定的）	
梯	thi44	房舍	梯（可移动的）	
阳台	yan22de44	房舍		
屋面		房舍	房顶	
石库门		房舍	门框用条石砌成的大门，是近代江南常见民居	
料檐	liau22yie44	房舍	房檐儿	
梁	lian223	房舍		
桁条	ghan22diau44	房舍	檩	
椽子	zoe22tsy44	房舍		
䈍砖	maon22tsoe44	房舍		
搁栅	koq55saeq55	房舍	铺在椽子上的薄砖◇《集韵》宕韵莫浪切“屋箦”	
庭柱	din22zyu44	房舍	柱子	
石鼓墩		房舍	石础，垫在柱子下面的石头	
街沿	ka55yie21	房舍	大门口通往街道的台阶，一般只有两级	
琴头	jin22deu44	房舍	台阶的一级	~忒高则，跨弗上。（石级太高了，跨不上。）
天花板		房舍		
前门	zie22men44	房舍		
后门	gheu22men44	房舍		
矮䈳	a41daeq34	房舍	紧贴在大门外的半截门◇《广韵》盍韵徒盍切“窗扇”	
门槛	men22khe44	房舍		
门角落		房舍	门的后面	
门闩	men22soe44	房舍		
板壁	pe41piq34	房舍	木板做的用来隔开房间的墙	
天窗	thie55tshaon21	房舍		
天落撑		房舍	丁字形木撑，用来撑住门	
地落撑		房舍		
门膛子		房舍	门框	
戗水䈳		房舍	搭在大门外上面的简易棚，主要为挡雨水	
晴落	zin22loq44	房舍	屋檐下承雨水的水槽	
披	phi44	房舍	搭在正屋旁没有地基的简易小屋，有的地方称为“偏夏”	
窗	tshaon44	房舍	窗子	
窗盘	tshaon55boe21	房舍	窗台，窗口可以放东西的较窄的平台	
走廊	tseu41laon34	房舍		
备弄	be22lon44	房舍	旧时大宅子正屋旁的过道，长而狭窄、阴暗，主要供仆人通行	
灶下间		房舍	旧式厨房	
灶下	tsau55gho21	房舍	旧式厨房	
灶头	tsau55deu21	房舍	灶	
单眼灶		房舍	只能安放一个锅的灶	
两眼灶		房舍	能安放两个锅的灶	
三眼灶		房舍	安放三个锅的灶	
汤罐	thaon55kuoe21	房舍	固定在灶上的金属罐，利用烧灶的余热温水	
烟囱	ie55tshon21	房舍		
驳岸	poq55ngoe412	房舍	河边用砖石砌成的岸	
踏渡	daeq23dou31	房舍	河边的石阶，可上下船或在河边取水、洗东西	
踏渡琴		房舍	踏渡的石级	
坑棚	khan55ban21	房舍	旧式公用厕所	
屎坑	sy41khan34	房舍	旧式公用厕所	
马桶间		房舍	新式家用卫生间	
猪圈	tsyu55jioe21	房舍		
狗窠	keu41khou34	房舍	狗窝	
鸡棚	ci55ban21	房舍	鸡窝	
家生	ka55san21	器具	家具	
橱	zyu223	器具	柜子	
五斗橱		器具	五斗柜	
夜壶箱		器具	床头柜	
台子	de22tsy44	器具	桌子	
方台子		器具	方桌	
圆台	yoe22de44	器具	圆桌	
八仙桌		器具	可坐八人的较大的方桌	
麻将台		器具	适合坐四人的方桌，不是专用来打麻将的	
长台	zan22de44	器具	条案，旧时放在客厅正中的狭长的桌子	
半桌	poe55tsoq21	器具	方桌的一半，旧时室内常见家具	
写字台		器具	办公桌，书桌	
镜台	cin55de21	器具	旧时的梳妆台	
面汤台		器具	旧时洗脸用的桌子，放在卧室里	
箱橱	sian55zyu21	器具	教低矮的柜子，上面放箱子	
先柜	sie55jiu21	器具	一种柜子，像五斗柜而略小	
百灵台		器具	小的圆桌，多比较精致，桌面多为大理石	
吃饭台子		器具	餐桌	
台布	de22pu44	器具	桌布	
桌围	tsoq55we34	器具	围桌，挂在桌子面前的布，多在祭祀时用	
抽屉	tsheu55thi21	器具		
矮凳	a52ten21	器具	凳子	
凳子<新>	ten55tsy21	器具		
交椅	kau55yu21	器具	椅子	
靠背	khau55pe21	器具	椅子	
竹交椅		器具	竹椅子	
竹榻	tsoq55thaeq55	器具	竹床	
藤榻	den22thaeq44	器具	藤制靠椅	
长凳	zan22ten44	器具	两人坐的长条板凳	
骨牌凳		器具	方凳	
杌子	ngeq23tsy31	器具	较简陋的凳子	
春凳	tshen55ten21	器具	较宽的长板凳	
懒凳	le22ten44	器具	一种较宽的板凳，旧时大户人家放在大门口供仆人坐的	
蒲团	bu22doe44	器具		
床	zaon223	器具		
铺	phu523	器具	较简易的床	
棕垫	tson55die21	器具	棕编织的床垫	
地铺	di22phu44	器具	直接将席子、被褥铺在地上做成的床	
帐子	tsan55tsy21	器具		
帐着钩		器具		
帐檐	tsan55yie21	器具	帐钩	
被头	bi22deu44	器具	被子	
被头铺盖		器具	床上用品	
被风洞		器具	为睡觉叠成的长筒形的被子	
苫被	soe55bi21	器具	盖在厚被子上的薄被子	
被夹里		器具	被里	
被面	bi22mie44	器具		
棉花胎		器具	棉被的胎	
单被	te55bi21	器具	床单	
褥单	gnioq23te31	器具	床单	
褥子	gnioq23tsy31	器具		
席	ziq23	器具	席子	
草席	tshau41ziq34	器具	席草编的席子	
篾席	miq23ziq55	器具	竹篾编的席子	
枕头	tsen41deu34	器具		
枕头套		器具		
三节架		器具	立地的衣架	
三尖架子		器具	晾衣架	
马桶	mo22don44	器具		
夜壶	ia55ghou21	器具	陶制的小便器	
马桶豁洗		器具	洗马桶的竹制	
碗盏家生		器具	碗类餐具	
饭碗	ve22uoe44	器具	盛米饭的碗	
小菜碗		器具	盛菜的碗	
大汤碗		器具	较大的碗，多盛汤用	
青边碗		器具	碗沿有青边的碗，比菜碗小，比饭碗大	
盆子	ben22tsy44	器具	碟子	
酒盅	tseu41tson34	器具	较小的酒杯	
筷儿	khue55ng21	器具	筷子	
筷	khue44	器具	筷子	
筷箸笼		器具	筷笼（放筷子用）	
超	tshau44	器具	调羹	
镬子	ghoq23tsy31	器具	锅，多指铁锅	
刮镬子		器具	刮去铁锅底下的锅灰	
钢宗镬子		器具	铝锅	
沙锅	so55kou21	器具		
镬干盖		器具	锅盖	
镬干	ghoq23koe31	器具	锅盖	
铲刀	tshe41tau34	器具	锅铲	
箲帚	sie41tseu34	器具	刷锅用具，用竹丝扎成	
笊篱	tsau41li34	器具	从有水的锅里捞东西的竹制工具	
饭筲箕		器具	专盛米饭的竹篮。吃剩的米饭放在~里，挂在通风处，以免米饭变质	
淘箩	dau22lou44	器具	专用于洗米的竹篮，圆底，竹子编得很密	
罩篮	tsau55le21	器具	盖在菜肴上的竹器，可防苍蝇之类，又较透气，夏天菜不易变质	
勺	zo231	器具	舀水勺的统称	
广勺	kuao41nzo34	器具	舀水用具，铜制，较大	
铜勺	don22zo44	器具	舀水用具，铜制，较小	
吊子	tiau55tsy21	器具	水壶统称	
铜吊	don22tiau44	器具	铜制水壶	
盘	boe223	器具	①木制放餐具的盘子；	
盘	boe224	器具	②专指嫁妆	担~（送嫁妆）
甏	ban231	器具	坛子	
酒甏	tseu52ban21	器具	酒坛子	
罐头	kuoe55deu21	器具	陶罐	
瓶	bin223	器具	瓶子	
珍	tsen44	器具	软木的瓶塞儿	
切菜刀		器具	菜刀	
砧墩板		器具	砧板	
饭桶	ve22don44	器具	①盛米饭的木桶；	
饭桶	ve22don45	器具	②比喻只会装饭，不会干活的无用的人	
窝窠	ou55khou21	器具		
蒸笼	tsen55lon21	器具	稻草编的，使饭锅保暖的器物	
蒸架	tsen55ka21	器具		
䈆	da231	器具	放在锅内的井字形竹架，蒸菜用	
水缸	syu41kaon34	器具	一种较大的竹匾◇《集韵》泰韵徒盖切“海隅谓篮浅而长者曰~”	
泔脚	koe55ciaq21	器具		
泔脚钵头		器具	泔水	
抹布	meq23pu31	器具	泔水缸	
行灶	ghan22tsau44	器具	可搬动的简易灶，多用陶制的缸做成，下不开口作灶膛，上面放锅	
柴	za223	器具	柴火	
硬柴	ngan22za44	器具	木柴	
煤炉	me22lou44	器具		
煤基	me22ci44	器具	五六十年代流行的一种煤球，圆柱形	
煤球	me22jieu44	器具	煤基之后流行的煤球，扁橄榄形的	
炭基	the55ci21	器具	用木炭屑做的圆柱状燃料，火力较温和	
火夹	hou41kaeq34	器具	火钳	
面桶<老>	mie22don44	器具	脸盆	
面盆<新>	mie22ben44	器具		
面盆架子		器具	脸盆架	
皮皂	bi22zau44	器具		
香皮皂		器具	香皂	
揩面手巾		器具	洗脸毛巾	
手巾<老>	seu41cin34	器具	洗脸毛巾	
脚桶		器具	脚盆	
脚布		器具	洗脚的布或毛巾	
浴桶	yoq23don31	器具	洗澡盆	
提桶	di22don44	器具	有提手的木桶，提水工具	
吊桶	tiau55don21	器具	在井中打水的桶	
井绳	tsin41don34	器具		
热水瓶		器具	保温瓶	
茶杯	zo22pe44	器具		
茶壶	zo22ghou44	器具		
盖头	ke55deu21	器具	（器皿的）盖儿	
脚炉	ciaq55lou34	器具	脚的取暖用具，铜制，扁圆形，内烧砻糠、炭基之类	
汤婆子		器具	盛热水放在被窝中取暖的用具	
手炉	seu41lou34	器具	手的取暖用具，跟脚炉相近而小	
木梳	moq23sy31	器具	梳子	
编箕	pie55ci21	器具	篦子	
洋手照		器具	一种小型煤油灯，可拿在手上随时搬动	
油盏头		器具	油灯	
灯草	ten55tshau21	器具		
洋蜡烛		器具	洋蜡	
灯笼	ten55lon21	器具		
绳	zen223	器具	绳子	
伞	se523	器具	统称	
油纸伞		器具	纸制的雨伞	
油布伞		器具	油布制的雨伞	
阳伞	yan22se44	器具	遮太阳的伞，多为黑布做成	
蓑衣	sou55i21	器具	用草或棕编织的防雨衣	
雨衣	yu22i44	器具		
包	pau44	器具	手提包	
皮夹子		器具	钱包	
图章	dou22tsaon44	器具		
图书<老>	dou22syu44	器具		
眼镜	nge24cin21	器具		
手表	seu34piau41	器具		
表	piau44	器具		
浆	tsian44	器具	浆糊	
针箍	tsen55kou21	器具	顶针	
线板	sie55pe21	器具	线轴儿	
延线	yie24sie21	器具	缝衣针	
延线屁股		器具	针鼻儿	
延线头		器具	针尖	
针脚	tsen55ciaq21	器具		
剪刀	tsie41tau34	器具	剪子	
锥钻	tsy55tsoe21	器具	锥子	
擦板	tshaeq55pe52	器具	搓衣板儿	
棒槌	baon22zyu44	器具		
鸡毛掸帚		器具	鸡毛掸子	
扇子	soe55tsy21	器具		
蒲扇	bu22soe44	器具	用蒲葵叶做的圆形扇子	
拄拐	tsyu41kua34	器具	中式的手杖	
司的克		器具	西式手杖，英文stick	
草纸	tshau41tsy34	器具	手纸	
自来火		器具	火柴	
扫帚	sau55tseu21	器具	家中扫地用的工具	
畚箕	fen55ci21	器具	装垃圾用的工具	
垃圾	leq23seq55	器具		
拖畚	thou55fen21	器具	拖把	
轮盘	len22boe44	器具	轮子	
挖耳		器具	挖耳勺	
身体	sen55thi21	身体		
身胚	sen55phe21	身体	身材	
条干	diau22koe44	身体	个头	~蛮长。（个头很高。）
块甲	khue55kaeq21	身体	骨架	~蛮大。（骨架很大。）
头	deu223	身体		
骷浪头		身体	脑袋	
光郎头		身体	光头头发剃光了的头	
头顶心		身体	头顶	
后脑勺子		身体	后脑勺儿	
头发	deu22faeq44	身体		
少白头		身体	年轻人头发变白	
特头发		身体	掉头发（动宾）	
额骨头		身体	额头	
冲额角		身体	奔儿头，即前额向前突出	
雨落弗湿眼		身体	前额突出，所以下雨淋不湿眼睛，是戏谑的说法	
鬓脚	pin55ciaq21	身体		
辫子	bie22tsy44	身体		
头发团<老>		身体	老年妇女的发髻	
把根	po41ken34	身体	旧时妇女的一种简单的发式	
前刘海		身体	刘海儿	
面孔	mie22khon44	身体	脸	
颧骨	jioe22kueq44	身体		
酒靥	tseu41iq34	身体	酒窝	
耳光	gni22kuaon44	身体		
人中	gnin22tson44	身体		
眼睛	nge22tsin44	身体		
眼乌珠		身体	眼珠	
眼白	nge22baq44	身体	白眼珠	
眼黑	nge22heq44	身体	黑眼珠	
眼仙人		身体	瞳仁	
眼梢	nge22sau44	身体	小眼角（靠近太阳穴的眼角）	
眼凼	nge22daon44	身体	大眼角（靠近鼻子的眼角）	
眼圈	nge22chioe44	身体		
眼泪	nge24li21	身体		
眼皮	nge22bi44	身体		
单眼皮		身体		
双眼皮		身体		
眼眵	nge22tshy44	身体	眼屎	
眼睫毛		身体		
眉毛	mi22mau44	身体		
鼻头	beq23deu31	身体	鼻子	
鼻毛	biq23mau31	身体		
鼻梁	biq23lian31	身体		
鼻涕	beq23thi31	身体		
鼻涕干		身体	干鼻涕	
鼻头管		身体	鼻孔	
鼻头洞		身体	鼻孔	
鼻尖	biq23tsie31	身体	鼻子尖儿	
鼻头尖		身体	鼻子尖，指嗅觉灵敏	
鹰爪鼻头		身体	鹰钩形的鼻子	
塌鼻梁		身体	扁平鼻子	
耳朵	gni22tou44	身体		
耳朵管		身体	耳朵眼儿	
马	mo231	身体	耳屎	
聋	lon223	身体		
嘴	tsyu51	身体		
嘴唇	tsyu41zen34	身体		
胡子	ghou22tsy44	身体		
须须<老>	sou55sou21	身体		
租须<老>	tsou55sou21	身体		
拉带胡子		身体	络腮胡子	
小须须		身体	小胡子	
小租须<老>		身体		
舌头	zeq23deu31	身体		
舌苔	zeq23the31	身体		
大舌头		身体	口齿不清的人	
馋唾	ze22thou44	身体	唾沫	
牙子	nga22tsy44	身体	牙齿	
门牙	men22nga44	身体		
盘牙	boe22nga44	身体	臼齿	
牙龈肉		身体	牙龈	
上霍	zaon22hoq44	身体	上颚	
下巴	gho22po44	身体		
超下巴		身体	上齿在后，下齿在前，下巴往前突出	
济团嘴		身体	上齿在后，下齿在前，下巴往前突出	
头颈	deu22cin44	身体	脖子	
争食潭		身体	后脑窝子，颈后凹处。传说凹处深的人贪食	
学咙	ghoq23lon31	身体	喉咙	
花掀	ho55shie21	身体	哈欠	一径勒海打~。（一直在打哈欠。）
手	seu51	身体	也可以包括胳膊	俚只~跌断哉。（他的~摔断了。）
济手	tsi55seu21	身体	左手	
右手	yeu22seu44	身体		
手心	seu41sin34	身体		
手背	seu52be21	身体		
拳头	jioe22deu44	身体		
节头子		身体	手指头	
节头	tsiq55deu34	身体		
节掐子		身体	指甲	
节掐	tsiq55khaeq55	身体		
手茄子		身体	手腕子	
大密节头		身体	大拇指	
指人节头		身体	食指	
当中节头		身体	中指	
无名指		身体	额亳州	
小密节头		身体	小指	
臂膊	pi55po21	身体	胳膊	
臂膊撑子		身体	胳膊肘	
臂膊弯		身体	胳膊肘的背面	
髈	phaon51	身体	腿	
大髈	dou22phaon44	身体	大腿	
小髈	siau41phaon34	身体	小腿	
髈哈拉里		身体	大腿根内测	
脚馒头		身体	膝盖	
髈弯弯		身体	膝盖的背面	
掀面	shie55mie21	身体	小腿的前面	
脚	ciaq43	身体	①腿的下端接触地面的部分；	
脚	ciaq44	身体	②整条腿	
脚歌骨		身体	踝子骨	
赤脚	tshaq55ciaq55	身体	光脚	
脚背		身体		
脚底心		身体		
脚尖	ciaq55tsie34	身体		
脚跟	ciaq55ken34	身体		
脚节头		身体	脚趾头	
脚节掐		身体	脚趾甲	
脚丫	ciaq55o34	身体	脚趾缝	
鸡眼	ci55nge21	身体		
肩架	cie55ka21	身体	肩膀	
退肩架		身体	溜肩膀儿	
扛肩架		身体	肩膀较平，跟退肩相反	
膈辣肢		身体	胳肢窝	
心口头		身体	①心口儿；	
心口头		身体	②旧指胃部	
胸脯	shion55bu21	身体		
肋棚骨		身体	肋骨	
软档	ngoe22taon44	身体	（人的）软档	拨俚一记熟辣~里，痛是痛的来。（给他一下捅在软肋处，疼死了。）
奶奶	na22na44	身体	①乳房；	吃~
奶奶	na22na45	身体	②乳汁	
背心	pe55sin21	身体	背部	~浪有点痒。（背上有点痒。）
背梁脊骨		身体	脊梁骨	
肚皮	dou22bi44	身体	腹部	
小肚皮		身体	小傅	
肚皮眼		身体		
肚脐眼		身体		
腰	iau44	身体	整个腰部	
腰眼	iau55nge21	身体	肾所在的位置	
扑肉	phoq55gnioq55	身体	人身上不结实的肥肉	
